Marca,Modelo,Transmision,combustible,propulsion,cilindrada,carroceria,Emisiones de CO2 (g/km),Consumo Ciudad,Consumo Carretera,Consumo Mixto
Mazda,Mazda6 2.0 MT,M,Gasolina,Combustión,2,Sedán,161,11.4,17.8,14.7
Chery,Tiggo 8 Pro GLX DCT,A,Gasolina,Combustión,1.6,Station Wagon,186,9.9,15.4,12.8
Porsche,Macan S III,A,Gasolina,Combustión,2.9,Station Wagon,233,7.8,11.5,9.8
Ford,Edge 2.7 EcoBoost AWD,A,Gasolina,Combustión,2.7,Station Wagon,258,6.9,10.6,8.8
Mazda,Mazda6 2.5 AT,A,Gasolina,Combustión,2.5,Sedán,173,10.4,16.8,13.7
Land Rover,Defender 110 3.0iD X-Dynamic S MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id S MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id SE MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id HSE MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id X MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id X-Dynamic SE MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id X-Dynamic HSE MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id 75 TH Limited Edition MHEV 7 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0iD X-Dynamic S MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id S MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id SE MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id HSE MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X –Dynamic SE MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X –Dynamic HSE MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  75 TH Limited Edition MHEV 5 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X –Dynamic S MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id S MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  SE MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  HSE MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X-Dynamic SE MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  X-Dynamic HSE MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Land Rover,Defender 110 3.0id  75 TH Limited Edition MHEV 6 Asientos,A,Diesel/Hibrido,Vehículo Microhíbrido,3,Station Wagon,199,10.7,15.2,13.2
Citroen,Jumper Furgón L4H3 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Citroen,Jumper Furgón L4H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Citroen,Jumper Furgón L3H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Citroen,Jumper Furgon L2H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Peugeot,Boxer Furgón L4H3 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Peugeot,Boxer Furgón L4H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Peugeot,Boxer Furgón L3H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Peugeot,Boxer Furgón L2H2 BLUEHDI 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Opel,Movano Furgón L4H3 Diesel 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Opel,Movano Furgón L4H2 Diesel 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Opel,Movano Furgón L3H2 Diesel 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Opel,Movano Furgón L2H2 Diesel 165,M,Diésel ,Combustión,2.2,Furgón,213,11.2,13.2,12.4
Mahindra,XUV300 1.2T MPI 6MT E6b,M,Gasolina,Combustión,1.2,Station Wagon,158,12.1,17.5,15
Mitsubishi,L200 Dakar 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CRT 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CRM 2.2 MT 4x4,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Katana CR 2.2 MT 4x2,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Mitsubishi,L200 Work 2.2 MT 4x2,M,Diésel ,Combustión,2.2,Camioneta,200,11.8,14.1,13.1
Opel,"Corsa 1,2 Lts. 100 Hp 5 Puertas T/A",A,Gasolina,Combustión,1.2,Hatchback,108,19,24.6,22.2
Great Wall,Poer ONE 2.0 G. MT 4x4,M,Gasolina,Combustión,2,Camioneta,296,5.8,9.8,7.8
Great Wall,Poer ONE 2.0 G. MT 4x2,M,Gasolina,Combustión,2,Camioneta,271,6.4,11.6,8.5
Mazda,"Mazda2 1,5 SDN MT 2WD",M,Gasolina,Combustión,1.5,Sedán,133,13.4,21.1,17.4
Mazda,"Mazda2 1,5 MT 2WD",M,Gasolina,Combustión,1.5,Hatchback,133,13.8,21.5,17.8
Mazda,"Mazda2 1,5 SDN AT 2WD",A,Gasolina,Combustión,1.5,Sedán,143,12.7,20.1,16.6
M. Benz,GLC 200 4M,A,Gasolina/Híbrido,Vehículo Microhíbrido,2,Station Wagon,167,10.4,16.7,13.5
Changan,CS15 1.5 vvt MT,M,Gasolina,Combustión,1.5,Hatchback,151,11.9,19.2,15.6
Fiat,Ducato Chasis L4 Doble Cabina,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Fiat,Ducato Chasis L2,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Fiat,Ducato Chasis L3,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Mazda,"Mazda6 2,5 Turbo AT",A,Gasolina,Combustión,2.5,Sedán,195,8.7,15.7,12.2
Peugeot,208 Style Puretech 75,M,Gasolina,Combustión,1.2,Hatchback,140,12.9,20.5,16.8
Changan,CS55 1.5 Turbo AT,A,Gasolina,Combustión,1.5,Station Wagon,211,9.2,12.9,11.2
Citroen,Jumper Doble Cabina L4 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
Citroen,Jumper Cabina L3 BLUEHDI 165,M,Diésel ,Combustión,2.2,Camioneta,217,11,12.9,12.1
