marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
BMW,"X6 xDrive 35i 3,0 Lts. Station Wagon 5P. T/A 4x4 Otto ",A,Gasolina,Combustión,3.0,Station Wagon,198,8.8,14.5,11.8
BMW,"X5 xDrive35i 3,0 Lts. Station Wagon 5P. 7 Asientos T/A 4x4 Otto",A,Gasolina,Combustión,3.0,Station Wagon,198,8.8,14.5,11.8
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Station Wagon 8 asientos 4P. T/M Diésel ",M,Diésel,Combustión,1.6,Station Wagon,169,12.6,17.8,15.6
M. Benz,"Vito 109 CDI 1,6 Lts. Furgón 4P. T/M Diésel",M,Diésel,Combustión,1.6,Furgón,163,12.9,19.2,16.1
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Minibus 10 asientos 5P. T/M Diésel ",M,Diésel,Combustión,1.6,Minibus,169,12.6,17.8,15.6
M. Benz,"Vito 109 CDI Tourer 1,6 Lts. Minibus 8 asientos 4P. T/M Diésel ",M,Diésel,Combustión,1.6,Minibus,169,12.7,17.9,15.6
Audi,"TT 2,0 Lts. Coupé 2P. T/A Otto ",A,Gasolina,Combustión,2.0,Coupé,146,12.2,19.2,15.9
Audi,"TT 2,0 Lts. Cabriolet 2P. T/A Otto ",A,Gasolina,Combustión,2.0,Cabriolet,151,11.9,18.5,15.4
Baic,"Advance 1,5 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,1.5,Sedán,166,11.8,16.4,14.3
Opel,"Corsa HB5 1,4 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,120,15.2,22.7,19.2
Opel,"Corsa HB3 1,4 Lts. Hatchback 3P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,120,15.2,23.3,19.2
Lamborghini,"Huracán LP610-4 5,2 Lts. Coupé 2P. T/A 4x4 Otto ",A,Gasolina,Combustión,5.2,Coupé,301,5.4,10.3,7.7
Lamborghini,"Huracán LP610-4 5,2 Lts. Convertible 2P. T/A 4x4",A,Gasolina,Combustión,5.2,Cabriolet,285,5.7,10.9,8.1
Lamborghini,"Huracán LP580-2 5,2 Lts. Coupé 2P. T/A 4x2 Otto ",A,Gasolina,Combustión,5.2,Coupé,278,5.8,11.2,8.4
Lamborghini,"Huracán LP580-2 5,2 Lts. Convertible 2P. T/A 4x2 Otto",A,Gasolina,Combustión,5.2,Cabriolet,283,5.7,11.0,8.3
Kenbo,"T205-D Minitruck 1,0 Lts Camioneta 2P. T/M Otto ",M,Gasolina,Combustión,1.0,Camioneta,179,10.6,15.5,13.3
Kenbo,"T206-C Cargo Van 1,0 Lts. Furgón 5P. T/M Otto",M,Gasolina,Combustión,1.0,Furgón,179,10.6,15.5,13.3
BMW,"420i 2,0 Lts. Cabriolet 2P. T/A Otto",A,Gasolina,Combustión,2.0,Cabriolet,149,11.6,19.2,15.6
Nissan,NP300 (D23) DC 2.3 AT 4x4,A,Diésel,Combustión,2.3,Camioneta,195,11.0,15.7,13.5
Nissan,NP300 NAVARA (D23) DC 2.3 AT 4x4,A,Diésel,Combustión,2.3,Camioneta,199,10.6,15.6,13.3
Ford,"Focus 2,0 Lts. Sedán 4P. T/M Otto ",M,Gasolina,Combustión,2.0,Sedán,174,10.1,17.0,13.6
